train_loss,train_acc,val_loss,val_acc
0.12146475450806578,95.90690340489135,0.004989710377583136,99.88027138486098
0.02552939973263156,98.84204129231476,0.002851581560139614,99.94013569243049
0.018100860100513046,99.19517763579324,0.002945741341381455,99.91352933351071
0.012176263893205804,99.50725161375097,0.001750007637317573,99.95343887189038
0.010330928535362485,99.661646108109,0.002532414025732192,99.96674205135027
0.008964963535080108,99.72898838756304,0.004836941454688919,99.93348410270055
0.006341302076108112,99.80125815087956,0.0043900509959409265,99.95343887189038
0.005725387411730068,99.78976068853375,0.003925926299408499,99.92018092324065
0.004092900640151612,99.86531544109194,0.0034347863787272765,99.96009046162033
0.0042369833696334165,99.85874546260861,0.0034159210196462674,99.95343887189038
0.003549064459616592,99.88666787116273,0.003133201678974917,99.94678728216044
0.0033123085344886256,99.88174038730023,0.003945436480405301,99.95343887189038
0.0027662659871077514,99.90309281737102,0.003647833563589926,99.95343887189038
0.0026784897008886948,99.89980782812937,0.004782694956355245,99.94678728216044
0.0027413262328441854,99.89488034426687,0.0038998330400352756,99.95343887189038
0.00283940537536997,99.91951776357932,0.004192004000898489,99.96009046162033
0.0037863823973945648,99.8965228388877,0.00667844337394846,99.94678728216044
0.0025511857244404582,99.92116025820016,0.0030540450055301623,99.95343887189038
0.0021791445246271387,99.93594270978762,0.006287165855769921,99.94678728216044
0.0025305301736347975,99.90802030123352,0.006336862888305742,99.9268325129706
0.0024817744077610987,99.93265772054596,0.004978529303770473,99.93348410270055
0.002124267766350649,99.93265772054596,0.0052731532068976674,99.94678728216044
0.001993705322216052,99.93265772054596,0.006498456948541815,99.94678728216044
0.001903240854319001,99.94087019365011,0.004957046042770428,99.93348410270055
0.0023865499780409316,99.93758520440845,0.002865432829777628,99.96674205135027
0.002790441608964098,99.93101522592514,0.005334164271900437,99.96009046162033
0.0021308163925952517,99.92937273130431,0.004722476378020634,99.96009046162033
0.0015133131578787425,99.94087019365011,0.004567406731465993,99.96674205135027
0.0019390918043318012,99.92773023668347,0.004427710148665823,99.95343887189038
0.0011750182573410492,99.95893763447924,0.0064028961317928205,99.96009046162033
