epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.025996519335224066,0.9926405069139632,0.9926305074762015,0.007230554294460777,0.9983498894425926,0.9983493756274154
2,0.007671506710077439,0.9980611200950463,0.9980612174516571,0.006594771110405551,0.998448896076037,0.9984532851616389
3,0.005463690993527014,0.998646909342926,0.9986470971513741,0.003992273848287401,0.9990759380878519,0.9990760577974208
4,0.005107451330756573,0.998646909342926,0.9986471529204881,0.006951113592066613,0.9982838850202964,0.9982835704102396
5,0.004485274024631438,0.9989686809016204,0.9989689215413389,0.002492375051467803,0.999306953565889,0.9993069625039123
6,0.003017710426984896,0.9992657008019538,0.9992658369946266,0.005446778888141371,0.9990429358767038,0.999044572495008
7,0.003915240902382642,0.9992739513547407,0.9992741131984545,0.0034044847770016095,0.999108940299,0.9991088079910775
8,0.0035086104228593436,0.9992657008019538,0.9992657398897403,0.002663031400585427,0.9991419425101482,0.9991424344570968
9,0.0026268325505796933,0.9993894590937593,0.9993895295725015,0.002679938841384974,0.9994389624104815,0.9994390052945888
10,0.003141620663341931,0.9992904524603149,0.9992905199196759,0.0018577136182846643,0.9994059601993334,0.9994058079535704
11,0.0018769572275351796,0.9995957229134352,0.9995957492851073,0.0011201702270268738,0.9997359823108148,0.9997360019640622
12,0.0028638263805105344,0.9994554635160556,0.9994554887983234,0.0038476588137253773,0.999108940299,0.9991086046625394
13,0.002382053853841807,0.9995544701495,0.9995544933444205,0.0016366921621368195,0.9995379690439259,0.9995379829189669
14,0.002379989343223737,0.9995709712550741,0.9995710069080173,0.003990783810108587,0.999108940299,0.9991083352114558
15,0.002255452106617271,0.9995049668327778,0.9995050242129461,0.001831943809745063,0.9993729579881853,0.9993724340979068
16,0.0013231323962931492,0.9996122240190093,0.9996122624211855,0.0018950263551149522,0.9994059601993334,0.999406098436481
17,0.0016542290517061243,0.9996617273357314,0.9996617494236726,0.0020555259623634297,0.9994389624104815,0.9994389428887208
18,0.0016776405783340714,0.9996039734662222,0.9996040240067522,0.0011345360906880237,0.9995709712550741,0.9995710774950767
19,0.0016295113259778896,0.9996039734662222,0.9996040448275866,0.0012209150766717219,0.9995379690439259,0.9995380485128001
20,0.002038096084173502,0.9996204745717963,0.9996205084622477,0.0017407210119559523,0.9994719646216297,0.9994721227000095
21,0.0011253211135588087,0.9997359823108148,0.9997360234328776,0.000754016580587753,0.9997359823108148,0.9997358830864355
22,0.0016176277805548581,0.9996947295468797,0.9996947258618534,0.001167277034633412,0.9996369756773704,0.99963699255014
23,0.0017151948925331235,0.9996782284413056,0.9996782624460385,0.0021233145115708923,0.9995709712550741,0.9995709510890778
24,0.0010938968330715224,0.9997194812052408,0.9997194765856812,0.0012883853115750014,0.9995709712550741,0.9995708793232879
25,0.0011279610263955576,0.9997277317580278,0.9997277383150235,0.001394630811807698,0.9996039734662222,0.9996039518219214
26,0.001502814507657995,0.9997112306524537,0.9997112186793186,0.001938512415858093,0.9996039734662222,0.9996039310488456
27,0.0011193095938184215,0.9996947295468797,0.9996947514910723,0.004771642310351797,0.9991419425101482,0.9991435013140426
28,0.0018831256893377692,0.9997442328636018,0.9997442509581164,0.0024407607995580384,0.9995049668327778,0.9995054505204585
29,0.0008074565084305147,0.9998432394970463,0.9998432436894481,0.0021155795246020695,0.9995379690439259,0.9995380027779271
30,0.0013892008098494862,0.9996947295468797,0.9996947170621209,0.0007229585961476024,0.9997029800996666,0.9997030023032007
31,0.0013843452091082888,0.999768984521963,0.9997689911433818,0.0007993325507429931,0.9996699778885185,0.9996698856651123
32,0.001224104912579921,0.9997524834163889,0.9997524927838081,0.0010008828951356035,0.9996699778885185,0.9996699617861559
33,0.0009200737416897368,0.9997937361803241,0.99979373278262,0.0017793392400255953,0.9995379690439259,0.9995379056405219
34,0.002197918005443437,0.9996534767829445,0.9996534758616027,0.0007499144444484657,0.9997359823108148,0.9997359860999432
35,0.0006926800821627024,0.9998019867331112,0.9998019778227204,0.0035903562596931973,0.999108940299,0.9991080009914945
36,0.0013010572863570047,0.9997524834163889,0.9997524732619509,0.0006311199565575917,0.9998019867331112,0.9998019934023118
37,0.0010601741698051817,0.9998267383914722,0.9998267453068859,0.00045520245674523146,0.9998679911554074,0.9998680009720713
38,0.0009220447244126233,0.9998349889442593,0.9998350006210686,0.0022837619202060225,0.9996369756773704,0.9996370019455111
39,0.002138800336334966,0.9997524834163889,0.9997524828383717,0.0020309625840731916,0.9997029800996666,0.9997029908233497
40,0.0012296338889337746,0.9997937361803241,0.999793747074357,0.0006617471616864872,0.9996039734662222,0.9996041829104265
41,0.0007221258370584445,0.9998184878386852,0.9998184987823433,0.00048148155537865346,0.999768984521963,0.9997690382025917
42,0.0017062275181887825,0.9998102372858981,0.9998102417976571,0.0032826398708614576,0.9996699778885185,0.9996699547653443
43,0.0012378590306400365,0.999768984521963,0.9997690139868342,0.0014972332879132236,0.9996699778885185,0.9996699617861559
44,0.0009875068854851138,0.999785485627537,0.9997854780959717,0.0012130273980844306,0.9997359823108148,0.9997360011993253
