epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc
1,0.009789730172025455,0.9961212976022567,0.9971400066511473,0.9912066115702479,0.9941644562334218,0.9999315839842463,0.0011545031560047936,0.9996474217717056,0.9989434759640782,1.0,0.9994714587737844,1.0
2,4.101012868066182e-05,1.0,1.0,1.0,1.0,1.0,0.00010197673071193185,1.0,1.0,1.0,1.0,1.0
3,4.427735174148269e-06,1.0,1.0,1.0,1.0,1.0,5.554760711755162e-06,1.0,1.0,1.0,1.0,1.0
4,1.2903584984258196e-05,1.0,1.0,1.0,1.0,1.0,3.851028544979155e-08,1.0,1.0,1.0,1.0,1.0
5,0.0017748084400413737,0.9996253526093088,0.999537098267425,0.9993388429752066,0.9994379607894998,0.9999984897705724,0.0001070368399113386,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
6,9.570320686907706e-06,1.0,1.0,1.0,1.0,1.0,0.0001448675469417717,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
7,3.741054994845597e-06,1.0,1.0,1.0,1.0,1.0,1.8741646408339965e-06,1.0,1.0,1.0,1.0,0.9999999999999999
8,6.318718335834173e-07,1.0,1.0,1.0,1.0,1.0,2.0792047793094917e-07,1.0,1.0,1.0,1.0,1.0
9,7.188773348048924e-07,1.0,1.0,1.0,1.0,1.0,3.1483806963678414e-08,1.0,1.0,1.0,1.0,1.0
10,2.0404027856728366e-06,1.0,1.0,1.0,1.0,0.9999999999999999,9.314312099370871e-09,1.0,1.0,1.0,1.0,1.0
11,6.723353022653443e-08,1.0,1.0,1.0,1.0,1.0,3.0984492950293414e-07,1.0,1.0,1.0,1.0,1.0
12,0.007867672154556494,0.9996253526093088,0.99940499801666,0.9994710743801652,0.9994380351062775,0.9999624573574646,0.018567760781998205,0.9997355663287792,0.9992073976221929,1.0,0.9996035416941985,0.9998677773370356
13,0.0008799729645573862,0.9998236953455572,0.9997355371900827,0.9997355371900827,0.9997355371900827,0.9999999016493137,2.915447901526255e-07,1.0,1.0,1.0,1.0,1.0
14,0.00045653130294127724,0.9999118476727785,0.9999338755537922,0.999801652892562,0.999867759851891,0.9999999694020086,8.456131254698072e-06,1.0,1.0,1.0,1.0,1.0
15,1.5005791511429544e-05,1.0,1.0,1.0,1.0,1.0,2.549338777868627e-11,1.0,1.0,1.0,1.0,1.0
16,1.55975097013682e-05,1.0,1.0,1.0,1.0,1.0,2.6807669109537306e-08,1.0,1.0,1.0,1.0,1.0
17,1.2472150249668754e-06,1.0,1.0,1.0,1.0,1.0,2.2754632501145574e-08,1.0,1.0,1.0,1.0,1.0
18,1.1971868784095483e-06,1.0,1.0,1.0,1.0,1.0,2.4176738911010028e-09,1.0,1.0,1.0,1.0,1.0
19,0.00207790361098069,0.999757581100141,0.9996693996297276,0.999603305785124,0.9996363516149294,0.9999977892951288,0.0009701685488896979,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
20,0.0001626631800264153,0.9999559238363893,0.9999338842975206,0.9999338842975206,0.9999338842975206,0.9999999825154335,0.00038962289562366063,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
21,2.543396362559779e-06,1.0,1.0,1.0,1.0,1.0,0.0004749649671075724,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
22,3.7295523102250867e-07,1.0,1.0,1.0,1.0,1.0,0.0006295233769854674,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
23,9.373564393359724e-08,1.0,1.0,1.0,1.0,1.0,0.0004900355973821199,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
24,0.00017975937181298582,0.9999559238363893,0.9999338842975206,0.9999338842975206,0.9999338842975206,0.9999999934432877,8.21193775664906e-08,1.0,1.0,1.0,1.0,1.0
25,0.00018221063577186005,0.999933885754584,0.9998677773370356,0.9999338842975206,0.9999008297246372,0.999999989072146,0.00877809063075449,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,0.9999338711879966
26,0.0015563905145636755,0.9998457334273625,0.9998677423621214,0.9996694214876033,0.9997685720897941,0.9999978297281887,0.0002541630564512805,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
27,5.989440375321859e-06,1.0,1.0,1.0,1.0,1.0,0.0004992130187898243,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,0.9999999650389574
28,2.106534826170296e-06,1.0,1.0,1.0,1.0,1.0,0.001403446161396892,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
29,0.0005432194658268533,0.9999559238363893,0.9999338842975206,0.9999338842975206,0.9999338842975206,0.9999996197106796,0.00877880951298355,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,0.9999338886685178
30,0.00017588896899433415,0.9999559238363893,0.9999338842975206,0.9999338842975206,0.9999338842975206,0.999999989072146,0.0002992313639390354,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
31,1.0855751386176992e-07,1.0,1.0,1.0,1.0,1.0,0.00012687366151146713,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
32,1.1927302024028988e-07,1.0,1.0,1.0,1.0,1.0,0.0001681169211099064,0.9999118554429264,0.999735659529474,1.0,0.9998678122934567,1.0
33,0.0004979128382465414,0.9998898095909732,0.999867759851891,0.999801652892562,0.9998347052795133,0.9999999409895882,0.004203774992095424,0.9996474217717056,1.0,0.9989423585404548,0.9994708994708995,1.0
34,0.00021858280939986163,0.9999779619181947,1.0,0.9999338842975206,0.9999669410559027,1.0,3.568366368891827e-05,1.0,1.0,1.0,1.0,1.0
35,1.4270579312131117e-10,1.0,1.0,1.0,1.0,1.0,5.838491043995176e-05,1.0,1.0,1.0,1.0,1.0
36,6.202105248099259e-06,1.0,1.0,1.0,1.0,1.0,7.852968147539328e-09,1.0,1.0,1.0,1.0,1.0
37,7.357920984069335e-11,1.0,1.0,1.0,1.0,1.0,1.8689324189045144e-09,1.0,1.0,1.0,1.0,1.0
38,2.44552142879688e-10,1.0,1.0,1.0,1.0,1.0,3.085411693962708e-10,1.0,1.0,1.0,1.0,1.0
39,1.5193144802811776e-13,1.0,1.0,1.0,1.0,1.0,3.3407401072408167e-09,1.0,1.0,1.0,1.0,1.0
40,5.257047461210228e-12,1.0,1.0,1.0,1.0,1.0,1.875563617809338e-09,1.0,1.0,1.0,1.0,1.0
41,3.7320548205302514e-09,1.0,1.0,1.0,1.0,1.0,7.580964108943512e-11,1.0,1.0,1.0,1.0,1.0
42,1.5575047472841933e-12,1.0,1.0,1.0,1.0,1.0,3.69866187456386e-11,1.0,1.0,1.0,1.0,1.0
43,2.8281794406597786e-14,1.0,1.0,1.0,1.0,1.0,1.5852572525888984e-09,1.0,1.0,1.0,1.0,1.0
44,1.1091500635446941e-13,1.0,1.0,1.0,1.0,1.0,2.434641365167274e-10,1.0,1.0,1.0,1.0,1.0
45,1.1126208860156537e-14,1.0,1.0,1.0,1.0,1.0,1.404105104515385e-10,1.0,1.0,1.0,1.0,1.0
46,8.502777398483217e-13,1.0,1.0,1.0,1.0,1.0,4.346641416819324e-10,1.0,1.0,1.0,1.0,1.0
47,1.2947985744767e-09,1.0,1.0,1.0,1.0,1.0,2.00288936133469e-08,1.0,1.0,1.0,1.0,1.0
48,1.82422577205351e-08,1.0,1.0,1.0,1.0,1.0,2.202857903609207e-12,1.0,1.0,1.0,1.0,1.0
49,0.0010789576051791674,0.999933885754584,0.9999338799259455,0.9998677685950413,0.999900823167708,0.9999999256905926,0.0026266703769543772,0.9999118554429264,1.0,0.9997355896351137,0.9998677773370356,1.0
50,0.004054880122028041,0.9998677715091678,0.999801652892562,0.999801652892562,0.999801652892562,0.9999833372081682,0.0018571843870580614,0.9998237108858528,0.9994714587737844,1.0,0.999735659529474,1.0
